relative_input_path,algorithm,repetition,algorithm_to_uncompressed_peak_rss_kib,uncompressed_to_algorithm_peak_rss_kib,roundtrip_peak_rss_kib,algorithm_to_uncompressed_elapsed_seconds,uncompressed_to_algorithm_elapsed_seconds,roundtrip_total_elapsed_seconds,prepared_input_bytes,uncompressed_output_bytes,recompressed_output_bytes
PAF26161_pass_20b9b35e_374.pod5,PDZ,1,1316296,2354888,2354888,2.5,2.36,4.859999999999999,816445192,1887210608,816445192
PAF26161_pass_20b9b35e_374.pod5,VBZ,1,1343280,2358612,2358612,2.74,2.6,5.34,840467888,1887210608,840467888
PAF26161_pass_20b9b35e_375.pod5,PDZ,1,1347048,2393344,2393344,2.5,2.38,4.88,820850624,1898101392,820850624
PAF26161_pass_20b9b35e_375.pod5,VBZ,1,1372896,2388988,2388988,2.71,2.67,5.38,844984208,1898101392,844984208
PAF26161_pass_20b9b35e_376.pod5,PDZ,1,1142736,2014660,2014660,2.14,1.99,4.13,686970712,1587705336,686970712
PAF26161_pass_20b9b35e_376.pod5,VBZ,1,1160904,2070516,2070516,2.42,2.25,4.67,707149480,1587705336,707149480
PAF26161_pass_20b9b35e_377.pod5,PDZ,1,1092512,1926220,1926220,2.03,1.9,3.9299999999999997,656497232,1515523184,656497232
PAF26161_pass_20b9b35e_377.pod5,VBZ,1,1108808,1924120,1924120,2.12,2.14,4.26,675847280,1515523184,675847280
PAF26161_pass_20b9b35e_378.pod5,PDZ,1,1188876,2104796,2104796,2.23,2.12,4.35,725017352,1674274448,725017352
PAF26161_pass_20b9b35e_378.pod5,VBZ,1,1224456,2106500,2106500,2.46,2.36,4.82,746462712,1674274448,746462712
PAF26161_pass_20b9b35e_379.pod5,PDZ,1,1232520,2209088,2209088,2.43,2.22,4.65,763880648,1764853600,763880648
PAF26161_pass_20b9b35e_379.pod5,VBZ,1,1265172,2210248,2210248,2.44,2.38,4.82,786300824,1764853600,786300824
PAF26161_pass_20b9b35e_380.pod5,PDZ,1,1027120,1804292,1804292,1.93,1.8,3.73,614810800,1418073864,614810800
PAF26161_pass_20b9b35e_380.pod5,VBZ,1,1050416,1801348,1801348,1.98,1.95,3.9299999999999997,632981992,1418073864,632981992
PAF26161_pass_20b9b35e_381.pod5,PDZ,1,1119016,1976744,1976744,2.12,1.97,4.09,676983304,1561631016,676983304
PAF26161_pass_20b9b35e_381.pod5,VBZ,1,1161716,1975408,1975408,2.18,2.23,4.41,697114600,1561631016,697114600
PAF26161_pass_20b9b35e_382.pod5,PDZ,1,2128960,3844904,3844904,3.99,3.85,7.84,1340188512,3104853296,1340188512
PAF26161_pass_20b9b35e_382.pod5,VBZ,1,2170532,3845348,3845348,4.09,4.1,8.19,1379257248,3104853296,1379257248
PAF26161_pass_20b9b35e_383.pod5,PDZ,1,2077828,3722168,3722168,3.85,3.9,7.75,1298243872,3004276208,1298243872
PAF26161_pass_20b9b35e_383.pod5,VBZ,1,2118772,3737028,3737028,3.99,3.97,7.960000000000001,1336344576,3004276208,1336344576
PAF26161_pass_20b9b35e_384.pod5,PDZ,1,1151148,2049388,2049388,2.28,2.06,4.34,704038584,1630809328,704038584
PAF26161_pass_20b9b35e_384.pod5,VBZ,1,1173448,2051696,2051696,2.29,2.41,4.7,724654144,1630809328,724654144
PAF26161_pass_20b9b35e_385.pod5,PDZ,1,835464,1479728,1479728,1.74,1.51,3.25,503449152,1163353880,503449152
PAF26161_pass_20b9b35e_385.pod5,VBZ,1,905448,1471760,1471760,1.83,1.74,3.5700000000000003,518396176,1163353880,518396176
PAF26161_pass_20b9b35e_386.pod5,PDZ,1,1196532,2110416,2110416,2.23,2.09,4.32,722808608,1666512808,722808608
PAF26161_pass_20b9b35e_386.pod5,VBZ,1,1225720,2097172,2097172,2.31,2.35,4.66,744331424,1666512808,744331424
PAF26161_pass_20b9b35e_387.pod5,PDZ,1,1276096,2252192,2252192,2.37,2.24,4.61,773715528,1786362776,773715528
PAF26161_pass_20b9b35e_387.pod5,VBZ,1,1316864,2247772,2247772,2.48,2.5,4.98,796506704,1786362776,796506704
PAF26161_pass_20b9b35e_388.pod5,PDZ,1,985944,1736332,1736332,1.94,1.76,3.7,590132576,1362899696,590132576
PAF26161_pass_20b9b35e_388.pod5,VBZ,1,1003824,1739612,1739612,2.02,1.86,3.88,607398416,1362899696,607398416
PAF26161_pass_20b9b35e_389.pod5,PDZ,1,1423140,2433944,2433944,2.55,2.45,5.0,840926072,1942974664,840926072
PAF26161_pass_20b9b35e_389.pod5,VBZ,1,1393592,2438712,2438712,2.65,2.73,5.38,865616344,1942974664,865616344
PAF26161_pass_20b9b35e_390.pod5,PDZ,1,1302108,2317964,2317964,2.46,2.32,4.779999999999999,800156816,1848052496,800156816
PAF26161_pass_20b9b35e_390.pod5,VBZ,1,1324316,2312260,2312260,2.53,2.68,5.21,823678456,1848052496,823678456
PAF26161_pass_20b9b35e_391.pod5,PDZ,1,1309668,2327564,2327564,2.46,2.32,4.779999999999999,799414440,1849170528,799414440
PAF26161_pass_20b9b35e_391.pod5,VBZ,1,1333092,2326364,2326364,2.52,2.6,5.12,822773488,1849170528,822773488
PAF26161_pass_20b9b35e_392.pod5,PDZ,1,1260828,2211604,2211604,2.31,2.19,4.5,752746248,1739750840,752746248
PAF26161_pass_20b9b35e_392.pod5,VBZ,1,1277492,2175896,2175896,2.39,2.43,4.82,774807272,1739750840,774807272
PAF26161_pass_20b9b35e_393.pod5,PDZ,1,1462988,2605344,2605344,2.71,2.61,5.32,896770504,2075115760,896770504
PAF26161_pass_20b9b35e_393.pod5,VBZ,1,1490176,2603044,2603044,2.82,2.91,5.73,922806992,2075115760,922806992
PAF26161_pass_20b9b35e_394.pod5,PDZ,1,2011860,3617180,3617180,3.73,3.59,7.32,1257046672,2911230920,1257046672
PAF26161_pass_20b9b35e_394.pod5,VBZ,1,2047524,3617096,3617096,3.9,3.87,7.77,1293558128,2911230920,1293558128
PAF26161_pass_20b9b35e_395.pod5,PDZ,1,1367328,2372004,2372004,2.5,2.38,4.88,814368072,1880522416,814368072
PAF26161_pass_20b9b35e_395.pod5,VBZ,1,1404256,2380016,2380016,2.7,2.56,5.26,838435568,1880522416,838435568
PAF26161_pass_20b9b35e_396.pod5,PDZ,1,739104,1288928,1288928,1.44,1.29,2.73,435092800,1003684952,435092800
PAF26161_pass_20b9b35e_396.pod5,VBZ,1,754344,1291992,1291992,1.5,1.51,3.01,447632216,1003684952,447632216
PAF26161_pass_20b9b35e_397.pod5,PDZ,1,861488,1472696,1472696,1.62,1.47,3.09,499293584,1152279136,499293584
PAF26161_pass_20b9b35e_397.pod5,VBZ,1,906000,1468064,1468064,1.69,1.71,3.4,513599624,1152279136,513599624
PAF26161_pass_20b9b35e_398.pod5,PDZ,1,1211008,2140068,2140068,2.27,2.12,4.390000000000001,733875568,1697980976,733875568
PAF26161_pass_20b9b35e_398.pod5,VBZ,1,1227824,2136388,2136388,2.33,2.28,4.609999999999999,754734560,1697980976,754734560
PAF26223_pass_89206861_408.pod5,PDZ,1,1118596,1975704,1975704,2.12,1.99,4.11,676071656,1563003864,676071656
PAF26223_pass_89206861_408.pod5,VBZ,1,1127956,1978736,1978736,2.16,2.19,4.35,695850136,1563003864,695850136
PAF26223_pass_89206861_409.pod5,PDZ,1,1192060,2115008,2115008,2.22,2.11,4.33,719709024,1662975952,719709024
PAF26223_pass_89206861_409.pod5,VBZ,1,1208852,2166128,2166128,2.4,2.25,4.65,740802464,1662975952,740802464
PAF26223_pass_89206861_410.pod5,PDZ,1,1318744,2346964,2346964,2.48,2.36,4.84,809090952,1871861848,809090952
PAF26223_pass_89206861_410.pod5,VBZ,1,1342236,2350068,2350068,2.66,2.54,5.2,832664520,1871861848,832664520
PAF26223_pass_89206861_411.pod5,PDZ,1,1576536,2799404,2799404,2.88,2.8,5.68,958604424,2219332832,958604424
PAF26223_pass_89206861_411.pod5,VBZ,1,1607444,2798588,2798588,2.97,2.95,5.92,986510800,2219332832,986510800
PAF26223_pass_89206861_412.pod5,PDZ,1,1172372,2133616,2133616,2.23,2.19,4.42,716197392,1656115272,716197392
PAF26223_pass_89206861_412.pod5,VBZ,1,1213720,2082796,2082796,2.3,2.22,4.52,737107288,1656115272,737107288
PAF26223_pass_89206861_413.pod5,PDZ,1,1198008,2119332,2119332,2.32,2.12,4.4399999999999995,722493144,1671077992,722493144
PAF26223_pass_89206861_413.pod5,VBZ,1,1217672,2114944,2114944,2.41,2.36,4.77,743507760,1671077992,743507760
PAF26223_pass_89206861_414.pod5,PDZ,1,1199540,2124468,2124468,2.25,2.12,4.37,727158288,1681949928,727158288
PAF26223_pass_89206861_414.pod5,VBZ,1,1227584,2124784,2124784,2.42,2.36,4.779999999999999,748297520,1681949928,748297520
PAF26223_pass_89206861_415.pod5,PDZ,1,1507512,2692468,2692468,2.81,2.75,5.5600000000000005,928287520,2150138112,928287520
PAF26223_pass_89206861_415.pod5,VBZ,1,1539524,2733276,2733276,3.05,2.98,6.029999999999999,955205856,2150138112,955205856
PAF26223_pass_89206861_416.pod5,PDZ,1,1430428,2526416,2526416,2.65,2.53,5.18,863830232,1997002048,863830232
PAF26223_pass_89206861_416.pod5,VBZ,1,1458288,2527336,2527336,2.71,2.71,5.42,889094192,1997002048,889094192
PAF26223_pass_89206861_417.pod5,PDZ,1,1344464,2373664,2373664,2.6,2.55,5.15,815622552,1884484304,815622552
PAF26223_pass_89206861_417.pod5,VBZ,1,1361456,2369496,2369496,2.67,2.64,5.3100000000000005,839560536,1884484304,839560536
PAF26223_pass_89206861_418.pod5,PDZ,1,1162444,2095696,2095696,2.26,2.11,4.369999999999999,705920568,1631045824,705920568
PAF26223_pass_89206861_418.pod5,VBZ,1,1170188,2043548,2043548,2.35,2.27,4.62,726611440,1631045824,726611440
PAF26223_pass_89206861_419.pod5,PDZ,1,1287072,2270632,2270632,2.41,2.3,4.71,773970656,1788962192,773970656
PAF26223_pass_89206861_419.pod5,VBZ,1,1315084,2272736,2272736,2.45,2.49,4.94,796566992,1788962192,796566992
PAF26223_pass_89206861_420.pod5,PDZ,1,2060676,3692732,3692732,3.93,3.79,7.720000000000001,1274480000,2952454728,1274480000
PAF26223_pass_89206861_420.pod5,VBZ,1,2097352,3626184,3626184,3.91,4.23,8.14,1311556448,2952454728,1311556448
PAF26223_pass_89206861_421.pod5,PDZ,1,1189876,2108656,2108656,2.3,2.19,4.49,724858280,1673224168,724858280
PAF26223_pass_89206861_421.pod5,VBZ,1,1210336,2108048,2108048,2.29,2.25,4.54,746259336,1673224168,746259336
PAF26223_pass_89206861_422.pod5,PDZ,1,1016432,1795124,1795124,2.0,1.91,3.91,605169800,1410834144,605169800
PAF26223_pass_89206861_422.pod5,VBZ,1,1032456,1792548,1792548,1.97,2.0,3.9699999999999998,622160904,1410834144,622160904
PAF26223_pass_89206861_423.pod5,PDZ,1,816968,1434436,1434436,1.66,1.57,3.23,485407064,1122971352,485407064
PAF26223_pass_89206861_423.pod5,VBZ,1,828632,1429400,1429400,1.61,1.55,3.16,499516112,1122971352,499516112
PAF26223_pass_89206861_424.pod5,PDZ,1,1198740,2116964,2116964,2.34,2.23,4.57,719674624,1666361272,719674624
PAF26223_pass_89206861_424.pod5,VBZ,1,1217280,2113500,2113500,2.29,2.41,4.7,740594120,1666361272,740594120
PAF26223_pass_89206861_425.pod5,PDZ,1,1289952,2302316,2302316,2.57,2.41,4.98,791528120,1836370728,791528120
PAF26223_pass_89206861_425.pod5,VBZ,1,1311512,2299524,2299524,2.51,2.66,5.17,814272368,1836370728,814272368
PAF26223_pass_89206861_426.pod5,PDZ,1,1230656,2180808,2180808,2.36,2.23,4.59,741450520,1715427536,741450520
PAF26223_pass_89206861_426.pod5,VBZ,1,1216088,2181788,2181788,2.57,2.28,4.85,763001848,1715427536,763001848
PAF26223_pass_89206861_427.pod5,PDZ,1,1186860,2135164,2135164,2.28,2.15,4.43,720020360,1665986680,720020360
PAF26223_pass_89206861_427.pod5,VBZ,1,1214700,2099168,2099168,2.29,2.34,4.63,740928600,1665986680,740928600
PAF26223_pass_89206861_428.pod5,PDZ,1,1273400,2271496,2271496,2.49,2.3,4.79,784394880,1815686688,784394880
PAF26223_pass_89206861_428.pod5,VBZ,1,1298452,2274680,2274680,2.48,2.43,4.91,807167568,1815686688,807167568
PAF26223_pass_89206861_429.pod5,PDZ,1,1175272,2088176,2088176,2.3,2.12,4.42,720755504,1667758864,720755504
PAF26223_pass_89206861_429.pod5,VBZ,1,1190940,2091156,2091156,2.41,2.35,4.76,741715664,1667758864,741715664
PAF26223_pass_89206861_430.pod5,PDZ,1,1396436,2473216,2473216,2.66,2.91,5.57,844547048,1952235816,844547048
PAF26223_pass_89206861_430.pod5,VBZ,1,1424004,2470452,2470452,2.66,2.82,5.48,869303264,1952235816,869303264
PAF26223_pass_89206861_431.pod5,PDZ,1,1361156,2418184,2418184,3.53,2.81,6.34,829605792,1917905800,829605792
PAF26223_pass_89206861_431.pod5,VBZ,1,1385004,2421368,2421368,2.61,2.56,5.17,853884864,1917905800,853884864
PAF26223_pass_89206861_432.pod5,PDZ,1,1168428,2073244,2073244,2.28,2.15,4.43,713802624,1649753088,713802624
PAF26223_pass_89206861_432.pod5,VBZ,1,1186048,2060468,2060468,2.26,2.39,4.65,734726320,1649753088,734726320
PAF26223_pass_89206861_433.pod5,PDZ,1,1286420,2285432,2285432,2.48,2.33,4.8100000000000005,785353752,1818245920,785353752
PAF26223_pass_89206861_433.pod5,VBZ,1,1311068,2285348,2285348,2.6,2.53,5.13,808065680,1818245920,808065680
